

Servicio Meteorológico Nacional
Red: SMN
Estación: ESCNALCIENCIASBIOLOGICAS
Estado: Ciudad de México
Municipio: Miguel Hidalgo
Latitud (N): 19.45361111
Longitud (O): -99.17111111
Altitud: 2262

Fecha Local,Fecha UTC,Dirección del Viento (grados),Dirección de ráfaga (grados),Rapidez de viento (km/h),Rapidez de ráfaga (km/h),Temperatura del Aire (°C),Humedad relativa (%),Presión Atmosférica (hpa),Precipitación (mm),Radiación Solar (W/m²),
2020-08-05 22:40:00,2020-08-06 03:40:00,321.0,312.0,12.3,22.3,19.3,71,780.8,0,0,
2020-08-05 22:30:00,2020-08-06 03:30:00,333.0,330.0,10.7,18.3,19.5,69,780.6,0,0,
2020-08-05 22:20:00,2020-08-06 03:20:00,349.0,337.0,11.6,20,19.7,68,780.5,0,0,
2020-08-05 22:10:00,2020-08-06 03:10:00,338.0,323.0,14,24.6,19.9,68,780.4,0,0,
2020-08-05 22:00:00,2020-08-06 03:00:00,334.0,335.0,13,24.1,20.2,66,780.3,0,0,
2020-08-05 21:50:00,2020-08-06 02:50:00,350.0,358.0,8.9,14.3,20.6,64,780.3,0,0,
2020-08-05 21:40:00,2020-08-06 02:40:00,359.0,354.0,11.6,18.3,20.7,63,780,0,0,
2020-08-05 21:30:00,2020-08-06 02:30:00,2.0,18.0,11.5,21.2,20.8,63,779.8,0,0,
2020-08-05 21:20:00,2020-08-06 02:20:00,4.0,349.0,13.1,20,21,63,779.8,0,0,
2020-08-05 21:10:00,2020-08-06 02:10:00,10.0,20.0,17,28.7,21.1,63,779.6,0,0,
2020-08-05 21:00:00,2020-08-06 02:00:00,20.0,28.0,18.9,26.4,21.3,63,779.3,0,0,
2020-08-05 20:50:00,2020-08-06 01:50:00,18.0,7.0,16.2,25.8,21.6,62,779.2,0,0,
2020-08-05 20:40:00,2020-08-06 01:40:00,352.0,354.0,16.4,25.8,21.8,60,779,0,0,
2020-08-05 20:30:00,2020-08-06 01:30:00,350.0,344.0,17.1,31,22,58,778.9,0,0,
2020-08-05 20:20:00,2020-08-06 01:20:00,354.0,3.0,18.8,30.4,22.2,58,778.8,0,0,
2020-08-05 20:10:00,2020-08-06 01:10:00,3.0,348.0,18.7,28.1,22.2,58,778.6,0,1,
2020-08-05 20:00:00,2020-08-06 01:00:00,6.0,9.0,12.3,23.5,21.5,62,778.5,0,3,
2020-08-05 19:50:00,2020-08-06 00:50:00,331.0,12.0,10.3,23.5,20.9,65,778.4,0,8,
2020-08-05 19:40:00,2020-08-06 00:40:00,30.0,18.0,18.6,29.2,21.4,69,778.3,0,39,
2020-08-05 19:30:00,2020-08-06 00:30:00,347.0,317.0,17.2,35,23.1,58,778.1,0,69,
2020-08-05 19:20:00,2020-08-06 00:20:00,316.0,0.0,16.1,25.2,24,53,778,0,136,
2020-08-05 19:10:00,2020-08-06 00:10:00,319.0,324.0,16.3,34.4,24.1,52,778,0,243,
2020-08-05 19:00:00,2020-08-06 00:00:00,321.0,312.0,12.8,23.5,24,53,778.1,0,262,
2020-08-05 18:50:00,2020-08-05 23:50:00,317.0,281.0,14.9,25.8,23.8,53,778.2,0,268,
2020-08-05 18:40:00,2020-08-05 23:40:00,323.0,294.0,18.5,28.7,23.9,54,778.1,0,118,
2020-08-05 18:30:00,2020-08-05 23:30:00,332.0,327.0,16.4,29.8,24.2,53,778.1,0,174,
2020-08-05 18:20:00,2020-08-05 23:20:00,340.0,325.0,18.3,31.6,24.5,52,778.1,0,365,
2020-08-05 18:10:00,2020-08-05 23:10:00,311.0,318.0,14.3,28.1,24.5,51,778,0,445,
2020-08-05 18:00:00,2020-08-05 23:00:00,315.0,330.0,14.4,24.6,24.4,51,778,0,290,
2020-08-05 17:50:00,2020-08-05 22:50:00,323.0,330.0,18,32.7,25,49,778,0,460,
2020-08-05 17:40:00,2020-08-05 22:40:00,334.0,334.0,13.5,23.5,25.3,48,778,0,566,
2020-08-05 17:30:00,2020-08-05 22:30:00,309.0,317.0,15.7,30.4,25.4,47,778.1,0,591,
2020-08-05 17:20:00,2020-08-05 22:20:00,306.0,332.0,14.8,28.7,25.4,45,778.1,0,694,
2020-08-05 17:10:00,2020-08-05 22:10:00,316.0,335.0,14.1,26.9,25.3,43,778.2,0,709,
2020-08-05 17:00:00,2020-08-05 22:00:00,338.0,324.0,15.2,25.2,24.8,43,778.4,0,662,
2020-08-05 16:50:00,2020-08-05 21:50:00,16.0,5.0,10.5,21.2,24.7,42,778.6,0,409,
2020-08-05 16:40:00,2020-08-05 21:40:00,17.0,25.0,10.4,15.4,25.4,41,778.8,0,182,
2020-08-05 16:30:00,2020-08-05 21:30:00,346.0,27.0,7.2,16.6,25.6,41,778.9,0,726,
2020-08-05 16:20:00,2020-08-05 21:20:00,1.0,8.0,12.7,21.2,25.2,41,779,0,957,
2020-08-05 16:10:00,2020-08-05 21:10:00,3.0,16.0,10.5,22.9,24.8,43,779.2,0,651,
2020-08-05 16:00:00,2020-08-05 21:00:00,299.0,62.0,9.1,20.6,25,45,779.4,0,547,
2020-08-05 15:50:00,2020-08-05 20:50:00,353.0,325.0,9.4,18.9,25.7,43,779.6,0,596,
2020-08-05 15:40:00,2020-08-05 20:40:00,223.0,296.0,5.5,14.9,25,43,779.8,0,1039,
2020-08-05 15:30:00,2020-08-05 20:30:00,321.0,321.0,11.5,21.8,24.4,45,780,0,918,
2020-08-05 15:20:00,2020-08-05 20:20:00,326.0,300.0,10.4,17.7,24.3,46,780.1,0,558,
2020-08-05 15:10:00,2020-08-05 20:10:00,13.0,339.0,8.6,19.5,24.4,47,780.2,0,715,
2020-08-05 15:00:00,2020-08-05 20:00:00,292.0,39.0,8.1,18.3,25.2,46,780.4,0,671,
2020-08-05 14:50:00,2020-08-05 19:50:00,102.0,95.0,6.4,14.9,24.6,48,780.5,0,1120,
2020-08-05 14:40:00,2020-08-05 19:40:00,63.0,44.0,7.4,15.4,23.9,51,780.7,0,891,
2020-08-05 14:30:00,2020-08-05 19:30:00,57.0,14.0,9.2,19.5,23.8,51,780.7,0,725,
2020-08-05 14:20:00,2020-08-05 19:20:00,256.0,257.0,7,10.8,23.6,54,780.9,0,333,
2020-08-05 14:10:00,2020-08-05 19:10:00,307.0,326.0,6.8,14.9,23.7,53,780.9,0,932,
2020-08-05 14:00:00,2020-08-05 19:00:00,187.0,203.0,6,8.5,23.1,55,781,0,768,
2020-08-05 13:50:00,2020-08-05 18:50:00,186.0,316.0,6.3,12,23.9,53,781.1,0,398,
2020-08-05 13:40:00,2020-08-05 18:40:00,353.0,29.0,7.8,14.3,24.1,53,781.1,0,1022,
2020-08-05 13:30:00,2020-08-05 18:30:00,5.0,359.0,7.3,17.7,23.8,54,781.1,0,1102,
2020-08-05 13:20:00,2020-08-05 18:20:00,302.0,246.0,10.5,21.8,23.5,55,781.2,0,1121,
2020-08-05 13:10:00,2020-08-05 18:10:00,272.0,321.0,8.7,17.2,23.2,55,781.3,0,1171,
2020-08-05 13:00:00,2020-08-05 18:00:00,80.0,47.0,6.4,13.1,22.7,55,781.4,0,1131,
